k = 10
t = 0.1, TPR = 0.0, FPR = 0.0
t = 0.2, TPR = 0.0, FPR = 0.0
t = 0.3, TPR = 0.0, FPR = 0.0
t = 0.4, TPR = 0.016129032258064516, FPR = 0.0
t = 0.5, TPR = 0.03225806451612903, FPR = 0.0
t = 1, TPR = 0.3064516129032258, FPR = 0.006345848757271285
t = 1.5, TPR = 0.7096774193548387, FPR = 0.09386567953463776
t = 2, TPR = 0.967741935483871, FPR = 0.32363828662083555
