k = 5
t = 0.1, TPR = 0.0, FPR = 0.0
t = 0.2, TPR = 0.016129032258064516, FPR = 0.0
t = 0.3, TPR = 0.04838709677419355, FPR = 0.0007932310946589106
t = 0.4, TPR = 0.11290322580645161, FPR = 0.003437334743521946
t = 0.5, TPR = 0.14516129032258066, FPR = 0.010312004230565839
t = 1, TPR = 0.7258064516129032, FPR = 0.15468006345848756
t = 1.5, TPR = 0.9516129032258065, FPR = 0.4418297197250132
t = 2, TPR = 1.0, FPR = 0.713379164463247
