k = 50
t = 0.5, TPR = 0.0, FPR = 0.0
t = 1, TPR = 0.016129032258064516, FPR = 0.0
t = 1.5, TPR = 0.06451612903225806, FPR = 0.0
t = 2, TPR = 0.11290322580645161, FPR = 0.0
t = 2.5, TPR = 0.3064516129032258, FPR = 0.0026441036488630354
t = 3, TPR = 0.5, FPR = 0.020624008461131677
t = 3.5, TPR = 0.7096774193548387, FPR = 0.088841882601798
t = 4, TPR = 0.8870967741935484, FPR = 0.22104706504494975
