k = 20
t = 0.5, TPR = 0.016129032258064516, FPR = 0.0
t = 1, TPR = 0.06451612903225806, FPR = 0.0
t = 1.5, TPR = 0.27419354838709675, FPR = 0.002379693283976732
t = 2, TPR = 0.6290322580645161, FPR = 0.044420941300899
t = 2.5, TPR = 0.8870967741935484, FPR = 0.18032786885245902
t = 3, TPR = 0.967741935483871, FPR = 0.38471708090957163
t = 3.5, TPR = 1.0, FPR = 0.6258593336858805
t = 4, TPR = 1.0, FPR = 0.8236382866208355
