k = 150
t = 0.5, TPR = 0.0, FPR = 0.0
t = 1, TPR = 0.0, FPR = 0.0
t = 1.5, TPR = 0.016129032258064516, FPR = 0.0
t = 2, TPR = 0.016129032258064516, FPR = 0.0
t = 2.5, TPR = 0.04838709677419355, FPR = 0.0
t = 3, TPR = 0.08064516129032258, FPR = 0.0
t = 3.5, TPR = 0.0967741935483871, FPR = 0.0010576414595452142
t = 4, TPR = 0.1774193548387097, FPR = 0.007667900581702803
